Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (GBP),Total (GBP),Withholding tax,Currency (Withholding tax),Charge amount (GBP),Stamp duty reserve tax (GBP),Transaction fee (GBP),Finra fee (GBP),Notes,ID,Currency conversion fee (GBP)
Deposit,20/11/2020 12:08,DUMMY ISIN 999,,,,,,,,100000,,,100000,,,,Dummy Data,ABCABC,
Market buy,20/11/2020 12:22,DUMMY ISIN 999,AZN,AstraZeneca,1,9288,GBX,100,,83.23,,,,0.41,,,Dummy Data,ABCABC,
Deposit,20/11/2020 12:22,DUMMY ISIN 999,,,,,,,,83.23,,,83.23,,,,Free Shares Promotion,ABCABC,
Market sell,20/11/2020 13:22,DUMMY ISIN 999,AZN,AstraZeneca,1,9400,GBX,100,,82.99,,,,,,,Dummy Data,ABCABC,
Market buy,20/11/2020 13:23,DUMMY ISIN 999,BTCE,Bitcoin ETP,8,17,EUR,1.11821,,121.622951,,,,,,,Dummy Data,ABCABC,
Market buy,20/11/2020 14:59,DUMMY ISIN 999,BABA,Alibaba,4,283,USD,1.32799,,852.4160573,,,,,,,Dummy Data,ABCABC,
Market buy,24/11/2020 12:48,DUMMY ISIN 999,BTCE,Bitcoin ETP,4,19,EUR,1.12296,,67.67827883,,,,,,,Dummy Data,ABCABC,
Market buy,24/11/2020 12:48,DUMMY ISIN 999,BTCE,Bitcoin ETP,1,17,EUR,1.123,,15.13802315,,,,,,,Dummy Data,ABCABC,
Deposit,21/12/2020 15:04,DUMMY ISIN 999,,,,,,,,700,,,700,,,,Dummy Data,ABCABC,
Limit buy,22/12/2020 15:11,DUMMY ISIN 999,BABA,Alibaba,1,291,USD,1.33551,,217.8942876,,,,,,,Dummy Data,ABCABC,
Limit buy,23/12/2020 15:03,DUMMY ISIN 999,BABA,Alibaba,2,288,USD,1.35563,,424.8946984,,,,,,,Dummy Data,ABCABC,
Deposit,24/12/2020 14:55,DUMMY ISIN 999,,,,,,,,500,,,500,,,,Dummy Data,ABCABC,
Limit buy,24/12/2020 15:42,DUMMY ISIN 999,BABA,Alibaba,1,249,USD,1.35282,,184.0599636,,,,,,,Dummy Data,ABCABC,
